関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,モジュール名,モジュール パス,関数アドレス,レベル,プロセス名,プロセス ID,
"_mainCRTStartup",3071,0,99.90,0.00,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",361,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D0860,0,"mic.exe",4144,
"__tmainCRTStartup",2955,0,96.13,0.00,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",378,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D0880,1,"mic.exe",4144,
"_main",2955,0,96.13,0.00,"",0,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D1F30,2,"mic.exe",4144,
"_SDL_main",2955,0,96.13,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\main.cpp",23,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CBC10,3,"mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",2947,529,95.87,17.21,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h",42,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CC2A0,4,"mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",1285,1285,41.80,41.80,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp",81,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CC3F0,5,"mic.exe",4144,
"aqua::FFTAnalyzer::getFreqSize(void)",766,766,24.92,24.92,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp",89,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CC460,5,"mic.exe",4144,
"[ig7icd32.dll]",339,294,11.03,9.56,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,5,"mic.exe",4144,
"[ig7icd32.dll]",45,39,1.46,1.27,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,6,"mic.exe",4144,
"[ig7icd32.dll]",6,1,0.20,0.03,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,7,"mic.exe",4144,
"[ig7icd32.dll]",5,0,0.16,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,8,"mic.exe",4144,
"[ig7icd32.dll]",5,2,0.16,0.07,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,9,"mic.exe",4144,
"[ig7icd32.dll]",3,0,0.10,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,10,"mic.exe",4144,
"[ig7icd32.dll]",3,2,0.10,0.07,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,11,"mic.exe",4144,
"[ig7icd32.dll]",1,1,0.03,0.03,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,12,"mic.exe",4144,
"_glVertex2f@8",19,19,0.62,0.62,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6C9D1CA0,5,"mic.exe",4144,
"_glColor4f@16",9,9,0.29,0.29,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6C9D197C,5,"mic.exe",4144,
"_SDL_GL_SwapBuffers",3,0,0.10,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\sdl_video.c",1532,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D27AF30,4,"mic.exe",4144,
"_WIN_GL_SwapBuffers",3,0,0.10,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c",572,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D27F620,5,"mic.exe",4144,
"_SwapBuffers@4",3,0,0.10,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x761059FB,6,"mic.exe",4144,
"_SwapBuffers@4",2,0,0.07,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x761059FB,7,"mic.exe",4144,
"_GetAPI@12",2,0,0.07,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x76105865,8,"mic.exe",4144,
"_LoadLibraryA@4",2,0,0.07,0.00,"",0,"KERNEL32.dll","C:\Windows\syswow64\KERNEL32.dll",0x751F49BF,9,"mic.exe",4144,
"_LoadLibraryExA@12",2,0,0.07,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76232CCC,10,"mic.exe",4144,
"_LoadLibraryExW@12",2,0,0.07,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76232AA4,11,"mic.exe",4144,
"[snxhk.dll]",2,0,0.07,0.00,"<不明>",0,"snxhk.dll","C:\Program Files\AVAST Software\Avast\snxhk.dll",0x70B80000,12,"mic.exe",4144,
"_LdrLoadDll@16",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A7C45A,13,"mic.exe",4144,
"[snxhk.dll]",1,1,0.03,0.03,"<不明>",0,"snxhk.dll","C:\Program Files\AVAST Software\Avast\snxhk.dll",0x70B80000,13,"mic.exe",4144,
"_wglSwapBuffers@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA15E21,7,"mic.exe",4144,
"_wglSwapBuffers@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA15E21,8,"mic.exe",4144,
"___DrvSwapBuffers@8",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0C768,9,"mic.exe",4144,
"_GetPixelFormat@4",1,0,0.03,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x760E481A,10,"mic.exe",4144,
"_GetPixelFormat@4",1,0,0.03,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x760E481A,11,"mic.exe",4144,
"_GetAPI@12",1,0,0.03,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x76105865,12,"mic.exe",4144,
"_LoadLibraryA@4",1,0,0.03,0.00,"",0,"KERNEL32.dll","C:\Windows\syswow64\KERNEL32.dll",0x751F49BF,13,"mic.exe",4144,
"_LoadLibraryExA@12",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76232CCC,14,"mic.exe",4144,
"_LoadLibraryExW@12",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76232AA4,15,"mic.exe",4144,
"_BaseGetProcessDllPath@12",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x7622C223,16,"mic.exe",4144,
"_BasepGetCachedPath@28",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x7622C02D,17,"mic.exe",4144,
"_BasepGetCachedPath@28",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x7622C02D,18,"mic.exe",4144,
"_wcsncmp",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A77F95,19,"mic.exe",4144,
"aqua::FFTAnalyzer::analyze(void)",2,1,0.07,0.03,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp",63,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CC110,4,"mic.exe",4144,
"aqua::SoundBuffer<float>::read(float *,int)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\soundbuffer.hpp",75,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CCE10,5,"mic.exe",4144,
"boost::shared_lock<class boost::shared_mutex>::shared_lock<class boost::shared_mutex>(class boost::shared_mutex &)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp",517,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CD070,6,"mic.exe",4144,
"boost::shared_lock<class boost::shared_mutex>::lock(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp",633,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CD300,7,"mic.exe",4144,
"boost::shared_mutex::lock_shared(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\win32\shared_mutex.hpp",135,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CD430,8,"mic.exe",4144,
"boost::detail::get_system_time_sentinel(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\thread_time.hpp",31,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C1D90,9,"mic.exe",4144,
"boost::posix_time::ptime::ptime(enum boost::date_time::special_values)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\posix_time\ptime.hpp",50,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C1DD0,10,"mic.exe",4144,
"boost::date_time::base_time<class boost::posix_time::ptime,class boost::date_time::counted_time_system<struct boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config> > >::base_time<class boost::posix_time::ptime,class boost::date_time::counted_time_system<struct boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config> > >(enum boost::date_time::special_values)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time.hpp",66,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C2620,11,"mic.exe",4144,
"boost::date_time::counted_time_system<struct boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config> >::get_time_rep(enum boost::date_time::special_values)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time_system_counted.hpp",142,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C2F10,12,"mic.exe",4144,
"boost::posix_time::time_duration::time_duration(enum boost::date_time::special_values)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\posix_time\posix_time_config.hpp",81,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C3770,13,"mic.exe",4144,
