関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,関数アドレス,モジュール名,モジュール パス,プロセス名,プロセス ID,
"_DispatchClientMessage@24",2,0,0.07,0.00,"",0,0x76FF6D97,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_DispatchMessageA@4",1,0,0.03,0.00,"",0,0x76FF7BBB,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_DispatchMessageWorker@8",1,0,0.03,0.00,"",0,0x76FF76D7,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_FocusSetIMCContext@8",1,0,0.03,0.00,"",0,0x76FFD9BB,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_free",3,0,0.10,0.00,"",0,0x75FC9894,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll","mic.exe",4144,
"_GetAPI@12",3,0,0.10,0.00,"",0,0x76105865,"GDI32.dll","C:\Windows\syswow64\GDI32.dll","mic.exe",4144,
"_GetPixelFormat@4",1,0,0.03,0.00,"",0,0x760E481A,"GDI32.dll","C:\Windows\syswow64\GDI32.dll","mic.exe",4144,
"_glColor4f@16",9,9,0.29,0.29,"",0,0x6C9D197C,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll","mic.exe",4144,
"_GlobalAlloc@8",2,1,0.07,0.03,"",0,0x76234DE7,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll","mic.exe",4144,
"_glVertex2f@8",19,19,0.62,0.62,"",0,0x6C9D1CA0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll","mic.exe",4144,
"_ImeNotifyHandler@16",1,0,0.03,0.00,"",0,0x76FFD718,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_ImeSetContextHandler@16",1,0,0.03,0.00,"",0,0x76FFD7E2,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
