種類,関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,モジュール名,モジュール パス,関数アドレス,ルート関数名,プロセス名,プロセス ID,
"Caller","@RtlpLowFragHeapAllocFromContext@8",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E269,"__SEH_prolog4","mic.exe",4144,
"Root","__tmainCRTStartup",2955,0,96.13,0.00,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",378,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D0880,"__tmainCRTStartup","mic.exe",4144,
"Caller","_mainCRTStartup",2955,0,96.13,0.00,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",361,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D0860,"__tmainCRTStartup","mic.exe",4144,
"Callee","_main",2955,0,96.13,0.00,"",0,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D1F30,"__tmainCRTStartup","mic.exe",4144,
"Root","_ApphelpCheckExe@16",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734A5D8D,"_ApphelpCheckExe@16","mic.exe",4144,
"Caller","_ApphelpCheckIME@4",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734B66F4,"_ApphelpCheckExe@16","mic.exe",4144,
"Callee","_ApphelpCheckModule@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349A7ED,"_ApphelpCheckExe@16","mic.exe",4144,
"Root","_ApphelpCheckIME@4",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734B66F4,"_ApphelpCheckIME@4","mic.exe",4144,
"Caller","_CheckAndApplyAppCompat@4",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E3890E,"_ApphelpCheckIME@4","mic.exe",4144,
"Callee","_ApphelpCheckExe@16",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734A5D8D,"_ApphelpCheckIME@4","mic.exe",4144,
"Root","_ApphelpCheckModule@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349A7ED,"_ApphelpCheckModule@24","mic.exe",4144,
"Caller","_ApphelpCheckExe@16",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734A5D8D,"_ApphelpCheckModule@24","mic.exe",4144,
"Callee","_ApphelpQueryExe@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349DFBD,"_ApphelpCheckModule@24","mic.exe",4144,
"Root","_ApphelpQueryExe@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349DFBD,"_ApphelpQueryExe@24","mic.exe",4144,
"Caller","_ApphelpCheckModule@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349A7ED,"_ApphelpQueryExe@24","mic.exe",4144,
"Callee","_SdbGetMatchingExe@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349DF94,"_ApphelpQueryExe@24","mic.exe",4144,
"Root","_BaseGetProcessDllPath@12",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x7622C223,"_BaseGetProcessDllPath@12","mic.exe",4144,
"Caller","_LoadLibraryExW@12",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76232AA4,"_BaseGetProcessDllPath@12","mic.exe",4144,
"Callee","_BasepGetCachedPath@28",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x7622C02D,"_BaseGetProcessDllPath@12","mic.exe",4144,
"Root","_BasepGetCachedPath@28",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x7622C02D,"_BasepGetCachedPath@28","mic.exe",4144,
"Caller","_BaseGetProcessDllPath@12",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x7622C223,"_BasepGetCachedPath@28","mic.exe",4144,
"Caller","_BasepGetCachedPath@28",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x7622C02D,"_BasepGetCachedPath@28","mic.exe",4144,
"Callee","_BasepGetCachedPath@28",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x7622C02D,"_BasepGetCachedPath@28","mic.exe",4144,
"Callee","_wcsncmp",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A77F95,"_BasepGetCachedPath@28","mic.exe",4144,
"Root","_CallWindowProcAorW@24",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x77000CC9,"_CallWindowProcAorW@24","mic.exe",4144,
"Caller","_CallWindowProcW@20",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x77000D32,"_CallWindowProcAorW@24","mic.exe",4144,
"Callee","_UserCallWinProcCheckWow@32",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,"_CallWindowProcAorW@24","mic.exe",4144,
"Root","_CallWindowProcW@20",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x77000D32,"_CallWindowProcW@20","mic.exe",4144,
"Caller","[imjp14.ime]",1,0,0.03,0.00,"<不明>",0,"imjp14.ime","C:\Windows\system32\imjp14.ime",0x6B3F0000,"_CallWindowProcW@20","mic.exe",4144,
"Caller","_wglWndProc@16",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA15EF0,"_CallWindowProcW@20","mic.exe",4144,
"Callee","_CallWindowProcAorW@24",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x77000CC9,"_CallWindowProcW@20","mic.exe",4144,
"Root","_CheckAndApplyAppCompat@4",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E3890E,"_CheckAndApplyAppCompat@4","mic.exe",4144,
"Caller","_LoadIME@12",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E38AE7,"_CheckAndApplyAppCompat@4","mic.exe",4144,
"Callee","_ApphelpCheckIME@4",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734B66F4,"_CheckAndApplyAppCompat@4","mic.exe",4144,
"Root","_CM_Locate_DevNode_ExW@16",1,0,0.03,0.00,"",0,"CFGMGR32.dll","C:\Windows\syswow64\CFGMGR32.dll",0x76A76971,"_CM_Locate_DevNode_ExW@16","mic.exe",4144,
"Caller","_pSetupOpenAndAddNewDevInfoElem@52",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77132E33,"_CM_Locate_DevNode_ExW@16","mic.exe",4144,
"Callee","_memset",1,1,0.03,0.03,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9790,"_CM_Locate_DevNode_ExW@16","mic.exe",4144,
"Root","_CreateAnyContext@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0B5B7,"_CreateAnyContext@4","mic.exe",4144,
"Caller","_wglCreateLayerContext@8",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0B7A4,"_CreateAnyContext@4","mic.exe",4144,
"Callee","[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,"_CreateAnyContext@4","mic.exe",4144,
"Root","_CtfLoadThreadLayout@4",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFB550,"_CtfLoadThreadLayout@4","mic.exe",4144,
"Caller","_ImeSystemHandler@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFADAD,"_CtfLoadThreadLayout@4","mic.exe",4144,
"Callee","_ImmLoadIME@4",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E3197A,"_CtfLoadThreadLayout@4","mic.exe",4144,
"Root","_DefWindowProcA@16",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFCFF8,"_DefWindowProcA@16","mic.exe",4144,
"Caller","_DIB_HandleMessage",2,0,0.07,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c",133,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D24D820,"_DefWindowProcA@16","mic.exe",4144,
"Callee","_RealDefWindowProcA@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFCFC5,"_DefWindowProcA@16","mic.exe",4144,
"Callee","_ThemeDefWindowProcA@16",1,0,0.03,0.00,"",0,"uxtheme.dll","C:\Windows\system32\uxtheme.dll",0x74C622AB,"_DefWindowProcA@16","mic.exe",4144,
"Root","_DevObjGetDeviceInterfaceAlias@16",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77133F8C,"_DevObjGetDeviceInterfaceAlias@16","mic.exe",4144,
"Caller","_SetupDiGetDeviceInterfaceAlias@16",1,0,0.03,0.00,"",0,"SETUPAPI.dll","C:\Windows\syswow64\SETUPAPI.dll",0x7627ACF4,"_DevObjGetDeviceInterfaceAlias@16","mic.exe",4144,
