種類,関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,モジュール名,モジュール パス,関数アドレス,ルート関数名,プロセス名,プロセス ID,
"Callee","_RtlAllocateHeap@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E046,"_RtlAllocateHeap@12","mic.exe",4144,
"Root","_RtlFreeHeap@12",3,0,0.10,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6DFA5,"_RtlFreeHeap@12","mic.exe",4144,
"Caller","_free",2,0,0.07,0.00,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9894,"_RtlFreeHeap@12","mic.exe",4144,
"Caller","不明なフレーム",1,0,0.03,0.00,"<不明>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"_RtlFreeHeap@12","mic.exe",4144,
"Callee","@RtlpLowFragHeapAllocFromContext@8",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E269,"_RtlFreeHeap@12","mic.exe",4144,
"Callee","@RtlpLowFragHeapFree@8",2,2,0.07,0.07,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E392,"_RtlFreeHeap@12","mic.exe",4144,
"Root","_SdbFindFirstTag@12",2,0,0.07,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734935C7,"_SdbFindFirstTag@12","mic.exe",4144,
"Caller","_SdbpCheckExe@36",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73494FA9,"_SdbFindFirstTag@12","mic.exe",4144,
"Caller","_SdbpFindNextIndexedWildCardTag@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73495D2F,"_SdbFindFirstTag@12","mic.exe",4144,
"Callee","_SdbGetFirstChild@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349360D,"_SdbFindFirstTag@12","mic.exe",4144,
"Callee","_SdbGetTagFromTagID@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493660,"_SdbFindFirstTag@12","mic.exe",4144,
"Root","_SdbGetFirstChild@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349360D,"_SdbGetFirstChild@8","mic.exe",4144,
"Caller","_SdbFindFirstTag@12",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734935C7,"_SdbGetFirstChild@8","mic.exe",4144,
"Callee","_SdbpGetNextTagId@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493471,"_SdbGetFirstChild@8","mic.exe",4144,
"Root","_SdbGetMatchingExe@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349DF94,"_SdbGetMatchingExe@24","mic.exe",4144,
"Caller","_ApphelpQueryExe@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349DFBD,"_SdbGetMatchingExe@24","mic.exe",4144,
"Callee","_SdbGetMatchingExeEx@32",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73494AC8,"_SdbGetMatchingExe@24","mic.exe",4144,
"Root","_SdbGetMatchingExeEx@32",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73494AC8,"_SdbGetMatchingExeEx@32","mic.exe",4144,
"Caller","_SdbGetMatchingExe@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349DF94,"_SdbGetMatchingExeEx@32","mic.exe",4144,
"Callee","_SdbpSearchDB@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73495709,"_SdbGetMatchingExeEx@32","mic.exe",4144,
"Root","_SdbGetTagFromTagID@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493660,"_SdbGetTagFromTagID@8","mic.exe",4144,
"Caller","_SdbFindFirstTag@12",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734935C7,"_SdbGetTagFromTagID@8","mic.exe",4144,
"Callee","_SdbpReadMappedData@16",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493690,"_SdbGetTagFromTagID@8","mic.exe",4144,
"Root","_SdbpCheckExe@36",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73494FA9,"_SdbpCheckExe@36","mic.exe",4144,
"Caller","_SdbpCheckExe@36",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73494FA9,"_SdbpCheckExe@36","mic.exe",4144,
"Caller","_SdbpSearchDB@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73495709,"_SdbpCheckExe@36","mic.exe",4144,
"Callee","_SdbFindFirstTag@12",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734935C7,"_SdbpCheckExe@36","mic.exe",4144,
"Callee","_SdbpCheckExe@36",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73494FA9,"_SdbpCheckExe@36","mic.exe",4144,
"Root","_SdbpFindNextIndexedWildCardTag@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73495D2F,"_SdbpFindNextIndexedWildCardTag@8","mic.exe",4144,
"Caller","不明なフレーム",1,0,0.03,0.00,"<不明>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"_SdbpFindNextIndexedWildCardTag@8","mic.exe",4144,
"Callee","_SdbFindFirstTag@12",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734935C7,"_SdbpFindNextIndexedWildCardTag@8","mic.exe",4144,
"Root","_SdbpGetNextTagId@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493471,"_SdbpGetNextTagId@8","mic.exe",4144,
"Caller","_SdbGetFirstChild@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349360D,"_SdbpGetNextTagId@8","mic.exe",4144,
"Callee","_SdbpGetTagHeadSize@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493734,"_SdbpGetNextTagId@8","mic.exe",4144,
"Root","_SdbpGetTagHeadSize@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493734,"_SdbpGetTagHeadSize@8","mic.exe",4144,
"Caller","_SdbpGetNextTagId@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493471,"_SdbpGetTagHeadSize@8","mic.exe",4144,
"Callee","_SdbpReadMappedData@16",1,1,0.03,0.03,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493690,"_SdbpGetTagHeadSize@8","mic.exe",4144,
"Root","_SdbpReadMappedData@16",2,1,0.07,0.03,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493690,"_SdbpReadMappedData@16","mic.exe",4144,
"Caller","_SdbGetTagFromTagID@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493660,"_SdbpReadMappedData@16","mic.exe",4144,
"Caller","_SdbpGetTagHeadSize@8",1,1,0.03,0.03,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493734,"_SdbpReadMappedData@16","mic.exe",4144,
"Callee","_memcpy",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A62320,"_SdbpReadMappedData@16","mic.exe",4144,
"Root","_SdbpSearchDB@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73495709,"_SdbpSearchDB@24","mic.exe",4144,
"Caller","_SdbGetMatchingExeEx@32",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73494AC8,"_SdbpSearchDB@24","mic.exe",4144,
"Callee","_SdbpCheckExe@36",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73494FA9,"_SdbpSearchDB@24","mic.exe",4144,
"Root","_SDL_GL_SwapBuffers",3,0,0.10,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\sdl_video.c",1532,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D27AF30,"_SDL_GL_SwapBuffers","mic.exe",4144,
"Caller","_SDL_main",3,0,0.10,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\main.cpp",23,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CBC10,"_SDL_GL_SwapBuffers","mic.exe",4144,
"Callee","_WIN_GL_SwapBuffers",3,0,0.10,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c",572,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D27F620,"_SDL_GL_SwapBuffers","mic.exe",4144,
"Root","_SDL_main",2955,0,96.13,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\main.cpp",23,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CBC10,"_SDL_main","mic.exe",4144,
"Caller","_main",2955,0,96.13,0.00,"",0,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D1F30,"_SDL_main","mic.exe",4144,
"Callee","_SDL_GL_SwapBuffers",3,0,0.10,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\sdl_video.c",1532,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D27AF30,"_SDL_main","mic.exe",4144,
"Callee","aqua::AudioCapture<float>::init(int)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\audiocapture.hpp",81,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CE280,"_SDL_main","mic.exe",4144,
"Callee","aqua::FFTAnalyzer::analyze(void)",2,1,0.07,0.03,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp",63,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CC110,"_SDL_main","mic.exe",4144,
"Callee","aqua::FFTViewer::render(int,int,int,int)",2947,529,95.87,17.21,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h",42,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CC2A0,"_SDL_main","mic.exe",4144,
"Callee","aqua::SDLW::init(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\render\sdlw.hpp",63,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CB8A0,"_SDL_main","mic.exe",4144,
"Callee","aqua::SDLW::processEvent(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\render\sdlw.hpp",115,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CBB60,"_SDL_main","mic.exe",4144,
"Root","_SDL_PollEvent",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\events\sdl_events.c",394,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D25BB80,"_SDL_PollEvent","mic.exe",4144,
"Caller","aqua::SDLW::processEvent(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\render\sdlw.hpp",115,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CBB60,"_SDL_PollEvent","mic.exe",4144,
"Callee","_SDL_PumpEvents",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\events\sdl_events.c",369,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D25BB00,"_SDL_PollEvent","mic.exe",4144,
"Root","_SDL_PumpEvents",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\events\sdl_events.c",369,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D25BB00,"_SDL_PumpEvents","mic.exe",4144,
"Caller","_SDL_PollEvent",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\events\sdl_events.c",394,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D25BB80,"_SDL_PumpEvents","mic.exe",4144,
"Callee","_DIB_PumpEvents",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c",361,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D24DD40,"_SDL_PumpEvents","mic.exe",4144,
"Root","_SDL_SetVideoMode",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\sdl_video.c",584,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D278010,"_SDL_SetVideoMode","mic.exe",4144,
"Caller","aqua::SDLW::init(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\render\sdlw.hpp",63,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CB8A0,"_SDL_SetVideoMode","mic.exe",4144,
"Callee","_DIB_SetVideoMode",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibvideo.c",585,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D24F970,"_SDL_SetVideoMode","mic.exe",4144,
"Root","_SendMessageToUI@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD611,"_SendMessageToUI@20","mic.exe",4144,
"Caller","_ImeNotifyHandler@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD718,"_SendMessageToUI@20","mic.exe",4144,
"Callee","_SendMessageWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF954C,"_SendMessageToUI@20","mic.exe",4144,
"Root","_SendMessageW@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF9679,"_SendMessageW@16","mic.exe",4144,
"Caller","_ImmSetActiveContext@12",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E32246,"_SendMessageW@16","mic.exe",4144,
"Caller","_SendOpenStatusNotify@12",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD9FA,"_SendMessageW@16","mic.exe",4144,
"Callee","_SendMessageWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF954C,"_SendMessageW@16","mic.exe",4144,
"Root","_SendMessageWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF954C,"_SendMessageWorker@24","mic.exe",4144,
"Caller","_RealDefWindowProcWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF69ED,"_SendMessageWorker@24","mic.exe",4144,
"Caller","_SendMessageToUI@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD611,"_SendMessageWorker@24","mic.exe",4144,
"Caller","_SendMessageW@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF9679,"_SendMessageWorker@24","mic.exe",4144,
"Callee","_UserCallWinProcCheckWow@32",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,"_SendMessageWorker@24","mic.exe",4144,
"Root","_SendOpenStatusNotify@12",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD9FA,"_SendOpenStatusNotify@12","mic.exe",4144,
"Caller","_ImeSetContextHandler@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD7E2,"_SendOpenStatusNotify@12","mic.exe",4144,
"Callee","_SendMessageW@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF9679,"_SendOpenStatusNotify@12","mic.exe",4144,
"Root","_SetupDiGetDeviceInterfaceAlias@16",1,0,0.03,0.00,"",0,"SETUPAPI.dll","C:\Windows\syswow64\SETUPAPI.dll",0x7627ACF4,"_SetupDiGetDeviceInterfaceAlias@16","mic.exe",4144,
"Caller","不明なフレーム",1,0,0.03,0.00,"<不明>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"_SetupDiGetDeviceInterfaceAlias@16","mic.exe",4144,
"Callee","_DevObjGetDeviceInterfaceAlias@16",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77133F8C,"_SetupDiGetDeviceInterfaceAlias@16","mic.exe",4144,
"Root","_SwapBuffers@4",3,0,0.10,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x761059FB,"_SwapBuffers@4","mic.exe",4144,
"Caller","_SwapBuffers@4",2,0,0.07,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x761059FB,"_SwapBuffers@4","mic.exe",4144,
"Caller","_WIN_GL_SwapBuffers",3,0,0.10,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c",572,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D27F620,"_SwapBuffers@4","mic.exe",4144,
"Callee","_GetAPI@12",2,0,0.07,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x76105865,"_SwapBuffers@4","mic.exe",4144,
"Callee","_SwapBuffers@4",2,0,0.07,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x761059FB,"_SwapBuffers@4","mic.exe",4144,
"Callee","_wglSwapBuffers@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA15E21,"_SwapBuffers@4","mic.exe",4144,
"Root","_ThemeDefWindowProc(struct HWND__ *,unsigned int,unsigned int,long,int)",1,0,0.03,0.00,"",0,"uxtheme.dll","C:\Windows\system32\uxtheme.dll",0x74C60A12,"_ThemeDefWindowProc(struct HWND__ *,unsigned int,unsigned int,long,int)","mic.exe",4144,
"Caller","_ThemeDefWindowProcA@16",1,0,0.03,0.00,"",0,"uxtheme.dll","C:\Windows\system32\uxtheme.dll",0x74C622AB,"_ThemeDefWindowProc(struct HWND__ *,unsigned int,unsigned int,long,int)","mic.exe",4144,
"Callee","OnDwpNcLButtonDown(class CThemeWnd *,struct _THEME_MSG *)",1,0,0.03,0.00,"",0,"uxtheme.dll","C:\Windows\system32\uxtheme.dll",0x74C76E3A,"_ThemeDefWindowProc(struct HWND__ *,unsigned int,unsigned int,long,int)","mic.exe",4144,
"Root","_ThemeDefWindowProcA@16",1,0,0.03,0.00,"",0,"uxtheme.dll","C:\Windows\system32\uxtheme.dll",0x74C622AB,"_ThemeDefWindowProcA@16","mic.exe",4144,
"Caller","_DefWindowProcA@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFCFF8,"_ThemeDefWindowProcA@16","mic.exe",4144,
"Callee","_ThemeDefWindowProc(struct HWND__ *,unsigned int,unsigned int,long,int)",1,0,0.03,0.00,"",0,"uxtheme.dll","C:\Windows\system32\uxtheme.dll",0x74C60A12,"_ThemeDefWindowProcA@16","mic.exe",4144,
"Root","_UserCallWinProcCheckWow@32",3,0,0.10,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,"_UserCallWinProcCheckWow@32","mic.exe",4144,
"Caller","_CallWindowProcAorW@24",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x77000CC9,"_UserCallWinProcCheckWow@32","mic.exe",4144,
"Caller","_DispatchClientMessage@24",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6D97,"_UserCallWinProcCheckWow@32","mic.exe",4144,
"Caller","_DispatchMessageWorker@8",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF76D7,"_UserCallWinProcCheckWow@32","mic.exe",4144,
"Caller","_SendMessageWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF954C,"_UserCallWinProcCheckWow@32","mic.exe",4144,
"Callee","_InternalCallWinProc@20",3,0,0.10,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,"_UserCallWinProcCheckWow@32","mic.exe",4144,
"Root","_VerNtUserCreateWindowEx@52",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFA75E,"_VerNtUserCreateWindowEx@52","mic.exe",4144,
"Caller","不明なフレーム",1,0,0.03,0.00,"<不明>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"_VerNtUserCreateWindowEx@52","mic.exe",4144,
"Callee","_NtUserCreateWindowEx@60",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFA948,"_VerNtUserCreateWindowEx@52","mic.exe",4144,
"Root","_waveInMessage@16",1,0,0.03,0.00,"",0,"WINMM.dll","C:\Windows\system32\WINMM.dll",0x71679763,"_waveInMessage@16","mic.exe",4144,
"Caller","[portaudio_x86.dll]",1,0,0.03,0.00,"<不明>",0,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll",0x6F260000,"_waveInMessage@16","mic.exe",4144,
"Callee","waveIDMessage(struct _MMDRV *,unsigned int,unsigned int,unsigned int,unsigned long,unsigned long)",1,0,0.03,0.00,"",0,"WINMM.dll","C:\Windows\system32\WINMM.dll",0x7167919B,"_waveInMessage@16","mic.exe",4144,
"Root","_wcsncmp",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A77F95,"_wcsncmp","mic.exe",4144,
"Caller","_BasepGetCachedPath@28",1,1,0.03,0.03,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x7622C02D,"_wcsncmp","mic.exe",4144,
"Root","_wglCbPresentBuffers@8",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0C3E9,"_wglCbPresentBuffers@8","mic.exe",4144,
"Caller","[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,"_wglCbPresentBuffers@8","mic.exe",4144,
"Callee","[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,"_wglCbPresentBuffers@8","mic.exe",4144,
"Root","_wglCreateContext@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0B8E0,"_wglCreateContext@4","mic.exe",4144,
"Caller","ChoosePixelFormatARB",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c",115,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D27ECB0,"_wglCreateContext@4","mic.exe",4144,
"Callee","_wglCreateLayerContext@8",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0B7A4,"_wglCreateContext@4","mic.exe",4144,
"Root","_wglCreateLayerContext@8",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0B7A4,"_wglCreateLayerContext@8","mic.exe",4144,
"Caller","_wglCreateContext@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0B8E0,"_wglCreateLayerContext@8","mic.exe",4144,
"Callee","_CreateAnyContext@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0B5B7,"_wglCreateLayerContext@8","mic.exe",4144,
"Root","_wglSwapBuffers@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA15E21,"_wglSwapBuffers@4","mic.exe",4144,
"Caller","_SwapBuffers@4",1,0,0.03,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x761059FB,"_wglSwapBuffers@4","mic.exe",4144,
"Caller","_wglSwapBuffers@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA15E21,"_wglSwapBuffers@4","mic.exe",4144,
"Callee","___DrvSwapBuffers@8",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0C768,"_wglSwapBuffers@4","mic.exe",4144,
"Callee","_wglSwapBuffers@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA15E21,"_wglSwapBuffers@4","mic.exe",4144,
"Root","_wglWndProc@16",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA15EF0,"_wglWndProc@16","mic.exe",4144,
"Caller","_InternalCallWinProc@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,"_wglWndProc@16","mic.exe",4144,
"Callee","_CallWindowProcW@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x77000D32,"_wglWndProc@16","mic.exe",4144,
"Root","_WIN_GL_SetupWindow",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c",173,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D27DE80,"_WIN_GL_SetupWindow","mic.exe",4144,
"Caller","_DIB_SetVideoMode",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibvideo.c",585,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D24F970,"_WIN_GL_SetupWindow","mic.exe",4144,
