関数名,サンプル数 (関数のみ),サンプル % (関数のみ),サンプル数 (子を含む),サンプル % (子を含む),ソース開始行,ソース開始文字番号,ソース終了行,ソース終了文字番号,関数アドレス,関数行番号,ソース ファイル,モジュール名,モジュール パス,プロセス名,プロセス ID,ソース/行番号,
"_CreateAnyContext@4",0,0.00,1,0.03,0,0,0,0,0x6CA0B5B7,0,"","OPENGL32.dll","C:\Windows\system32\OPENGL32.dll","mic.exe",4144,";[0,0]->[0,0]",
"_CtfLoadThreadLayout@4",0,0.00,1,0.03,0,0,0,0,0x76FFB550,0,"","USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,";[0,0]->[0,0]",
"_DefWindowProcA@16",0,0.00,2,0.07,0,0,0,0,0x76FFCFF8,0,"","USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,";[0,0]->[0,0]",
"_DevObjGetDeviceInterfaceAlias@16",0,0.00,1,0.03,0,0,0,0,0x77133F8C,0,"","DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll","mic.exe",4144,";[0,0]->[0,0]",
"_DevObjOpenDeviceInterface@16",0,0.00,1,0.03,0,0,0,0,0x77134C9C,0,"","DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll","mic.exe",4144,";[0,0]->[0,0]",
"_DIB_HandleMessage",0,0.00,2,0.07,308,0,308,0,0x6D24D820,133,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c","SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c;[308,0]->[308,0]",
"_DIB_PumpEvents",0,0.00,1,0.03,366,0,366,0,0x6D24DD40,361,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c","SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c;[366,0]->[366,0]",
"_DIB_SetVideoMode",0,0.00,1,0.03,913,0,913,0,0x6D24F970,585,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibvideo.c","SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibvideo.c;[913,0]->[913,0]",
"_DispatchClientMessage@24",0,0.00,2,0.07,0,0,0,0,0x76FF6D97,0,"","USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,";[0,0]->[0,0]",
"_DispatchMessageA@4",0,0.00,1,0.03,0,0,0,0,0x76FF7BBB,0,"","USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,";[0,0]->[0,0]",
